type,ip,index,table_id
0,192.168.1.253, ,P_Rec1
1,192.168.1.251,1,P_Rec2
1,192.168.1.251,2,P_Rec3
1,192.168.1.251,3,P_Rec4
1,192.168.1.251,4,P_Rec5
1,192.168.1.251,5,P_Rec6
1,192.168.1.251,6,P_Rec7
1,192.168.1.251,7,P_Rec8
1,192.168.1.251,0,P_Rec10
